# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
-4.962492248982089404e-02, 2.944178851063833924e-01, 1.330905206152896772e-02, 1.085106382978723305e+00, 2.048415953273313939e+00
-4.595397592031819078e-02, 2.944178851063834479e-01, 1.447986958543412070e-02, 1.085106382978723305e+00, 2.124319414725656774e+00
-3.938674707971716316e-02, 2.944178851063833924e-01, 1.475824713631520083e-02, 1.085106382978723305e+00, 2.248378908561805556e+00
-2.932808967518277590e-02, 2.944178851063834479e-01, 1.337059521572386833e-02, 1.085106382978723305e+00, 2.437090193319866760e+00
-1.577833490241853029e-02, 2.944178851063833924e-01, 1.022632928799142513e-02, 1.085106382978723305e+00, 2.694931530939263631e+00
4.566212257727072561e-05, 2.944178851063833924e-01, 5.732480330156454994e-03, 1.085106382978723305e+00, 3.000000000000000000e+00
1.571106466811872382e-02, 2.944178851063833924e-01, 7.609961599180915760e-04, 1.085106382978723305e+00, 3.305068469060736369e+00
2.885924958161539822e-02, 2.944178851063833924e-01, -3.687454156741108539e-03, 1.085106382978723305e+00, 3.562909806680132796e+00
3.843392856125327217e-02, 2.944178851063833924e-01, -7.063939558686235277e-03, 1.085106382978723305e+00, 3.751621091438194000e+00
4.470460179462208000e-02, 2.944178851063833924e-01, -9.340311251127744047e-03, 1.085106382978723305e+00, 3.875680585274343670e+00
4.853090472321770071e-02, 2.944178851063833924e-01, -1.075685729667597360e-02, 1.085106382978723305e+00, 3.951584046726686061e+00
5.073860370883546966e-02, 2.944178851063833924e-01, -1.169953540962570017e-02, 1.085106382978723305e+00, 4.000000000000000000e+00
5.076454542349724541e-02, 3.081863063829792249e-01, -1.158645683964128377e-02, 1.106382978723404076e+00, 0.000000000000000000e+00
4.841675987406034165e-02, 3.081863063829792249e-01, -1.139027249139635059e-02, 1.106382978723404076e+00, 4.841595327331393861e-02
4.445240817927703647e-02, 3.081863063829792249e-01, -1.085939802535361431e-02, 1.106382978723404076e+00, 1.243194147256564686e-01
3.797672943962547565e-02, 3.081863063829792249e-01, -9.951956258015329237e-03, 1.106382978723404076e+00, 2.483789085618058612e-01
2.813593706178466741e-02, 3.081863063829792249e-01, -8.482030370702733912e-03, 1.106382978723404076e+00, 4.370901933198670375e-01
1.471095713944101449e-02, 3.081863063829791693e-01, -6.304919698448870763e-03, 1.106382978723404076e+00, 6.949315309392636308e-01
-1.130839064153062873e-03, 3.081863063829792249e-01, -3.440924711428156989e-03, 1.106382978723404076e+00, 1.000000000000000000e+00
-1.688929541545243149e-02, 3.081863063829792249e-01, -1.196900684146891844e-04, 1.106382978723404076e+00, 1.305068469060736591e+00
-3.006666782127665957e-02, 3.081863063829792249e-01, 3.279877760684652040e-03, 1.106382978723404076e+00, 1.562909806680132796e+00
-3.955467917986239118e-02, 3.081863063829792249e-01, 6.268645741390681259e-03, 1.106382978723404076e+00, 1.751621091438194222e+00
-4.573453156600847114e-02, 3.081863063829792249e-01, 8.386535360959838925e-03, 1.106382978723404076e+00, 1.875680585274343448e+00
-4.936325993783641924e-02, 3.081863063829792249e-01, 9.993526925270482600e-03, 1.106382978723404076e+00, 1.951584046726686061e+00
-5.076454239769472021e-02, 3.081863063829792249e-01, 1.158645614903467541e-02, 1.106382978723404076e+00, 2.000000000000000000e+00
-4.965442027363121957e-02, 3.081863063829792249e-01, 1.319810601168848983e-02, 1.106382978723404076e+00, 2.048415953273313939e+00
-4.598609315207551063e-02, 3.081863063829792249e-01, 1.437679837934709159e-02, 1.106382978723404076e+00, 2.124319414725656774e+00
-3.941954285282254361e-02, 3.081863063829792249e-01, 1.466954976930667266e-02, 1.106382978723404076e+00, 2.248378908561805556e+00
-2.935787940526069645e-02, 3.081863063829792249e-01, 1.330413738289218904e-02, 1.106382978723404076e+00, 2.437090193319866760e+00
-1.580119324969689668e-02, 3.081863063829792249e-01, 1.019003817034173920e-02, 1.106382978723404076e+00, 2.694931530939263631e+00
3.276854732128924459e-05, 3.081863063829792249e-01, 5.731579846650904433e-03, 1.106382978723404076e+00, 3.000000000000000000e+00
1.570922598678376608e-02, 3.081863063829792249e-01, 7.952349925525401811e-04, 1.106382978723404076e+00, 3.305068469060736369e+00
2.886731748297482331e-02, 3.081863063829792249e-01, -3.623667869197914719e-03, 1.106382978723404076e+00, 3.562909806680132796e+00
3.844952292234581070e-02, 3.081863063829792249e-01, -6.978608291476720224e-03, 1.106382978723404076e+00, 3.751621091438194000e+00
